Country,Population1,LAT1,LON1,GDP1,Colours
Benin,11485048,6.23,2.42,14269,cyan
Burkina Faso,19752000,12.15,1.3,14138,pink
Cape Verde,543767,15.02,23.34,1979,green
Ghana,29767108,5.35,0.06,65518,red
Guinea,12414318,9.29,13.49,12099,gray
Guinea-Bissau,1874309,11.45,15.45,1429,orange
Ivory Coast,25069229,6.49,5.17,43007,blue
Liberia,4818977,6.18,10.47,3248,black
Mali,19077690,12.34,7.55,17180,purple
Mauritania,4649658,20.1,57.3,5025,yellow
Niger,22442948,13.27,2.06,9299,gold
Nigeria,195874740,9.05,7.32,398186,brown
Senegal,15854360,14.34,17.29,23498,magenta
Sierra Leone,7650154,8.3,13.17,4000,plum
The Gambia,2280102,13.28,16.4,1625,olive
Togo,7889094,6.09,1.2,5300,coral
